step,response_length
1,1522.109375
2,1665.087524414062
3,1553.082763671875
4,1609.543701171875
5,1550.396850585938
6,1621.074951171875
7,1562.5546875
8,1577.318725585938
9,1538.3984375
10,1644.521850585938
11,1621.650024414062
12,1631.909423828125
13,1569.854736328125
14,1620.526611328125
15,1582.932861328125
16,1671.25
17,1622.939086914062
18,1588.9296875
19,1667.3203125
20,1580.4609375
21,1541.457763671875
22,1585.260986328125
23,1581.746826171875
24,1645.592163085938
25,1584.053100585938
26,1629.603149414062
27,1603.782836914062
28,1620.889038085938
29,1719.728149414062
30,1761.6171875
31,1653.993774414062
32,1647.640625
33,1619.028076171875
34,1658.71875
35,1620.334350585938
36,1605.517211914062
37,1656.703125
38,1669.092163085938
39,1740.787475585938
40,1681.545288085938
41,1672.553100585938
42,1685.7265625
43,1614.984375
44,1610.515625
45,1644.096923828125
46,1586.764038085938
47,1597.520263671875
48,1609.853149414062
49,1588.706298828125
50,1610.865600585938
51,1579.471923828125
52,1575.603149414062
53,1601.868774414062
54,1540.339111328125
55,1648.176513671875
56,1529.217163085938
57,1582.453125
58,1580.170288085938
59,1605.764038085938
60,1581.167236328125
61,1623.537475585938
62,1571.868774414062
63,1612.8984375
64,1501.409423828125
65,1557.731201171875
66,1612.1484375
67,1550.881225585938
68,1518.890625
69,1556.734375
70,1572.125
71,1569.175048828125
72,1607.46875
73,1548.246826171875
74,1528.592163085938
75,1543.690673828125
76,1474.125
77,1592.276611328125
78,1582.96875
79,1531.349975585938
80,1498.935913085938
81,1476.942138671875
82,1548.5703125
83,1567.668701171875
84,1548.681274414062
85,1588.551513671875
86,1580.637451171875
87,1455.050048828125
88,1551.362548828125
89,1524.151611328125
90,1578.081298828125
91,1546.737548828125
92,1546.709350585938
93,1539.9375
94,1534.368774414062
95,1541.340576171875
96,1553.845336914062
97,1494.646850585938
98,1579.010986328125
99,1626.420288085938
100,1553.462524414062
101,1540.9296875
102,1570.75
103,1474.621826171875
104,1612.8203125
105,1537.621826171875
106,1566.803100585938
107,1600.645263671875
108,1567.349975585938
109,1568.940673828125
110,1520.551513671875
111,1615.932861328125
112,1486.731201171875
113,1557.265625
114,1505.709350585938
115,1569.328125
116,1571.364013671875
117,1580.099975585938
118,1559.7265625
119,1575.112548828125
120,1528.8984375
121,1578.673461914062
122,1538.15625
123,1559.676513671875
124,1624.060913085938
125,1540.051513671875
126,1575.823486328125
127,1539.234375
128,1542.2421875
129,1578.903076171875
130,1577.685913085938
131,1572.901611328125
132,1571.370361328125
133,1556.8515625
134,1571.754638671875
135,1616.121826171875
136,1659.714111328125
137,1564.920288085938
138,1518.431274414062
139,1527.926513671875
140,1554.981201171875
141,1572.785888671875
142,1554.159423828125
143,1535.5625
144,1489.707763671875
145,1606.449951171875
146,1554.448486328125
148,1489.296875
149,1544.379638671875
150,1580.204711914062
151,1521.756225585938
152,1604.643798828125
153,1577.623413085938
154,1623.140625
155,1613.332763671875
156,1562.251586914062
157,1537.625
158,1572.701538085938
159,1576.046875
160,1596.378173828125
161,1593.387451171875
162,1589.765625
163,1569.628173828125
164,1535.612548828125
165,1540.646850585938
166,1551.137451171875
167,1607.71875
168,1622.157836914062
169,1640.2109375
170,1547.5390625
171,1568.862548828125
172,1616.282836914062
173,1647.028076171875
174,1601.017211914062
175,1582.760986328125
176,1548.292236328125
177,1579.9375
178,1575.301513671875
179,1500.056274414062
180,1635.307861328125
181,1529.440673828125
182,1525.953125
183,1554.462524414062
184,1606.454711914062
185,1591.578125
186,1533.471923828125
187,1574.689086914062
188,1636.453125
189,1644.223388671875
190,1585.542236328125
191,1579.159423828125
192,1570.517211914062
193,1544.28125
194,1605.550048828125
195,1684.323486328125
196,1562.014038085938
197,1590.243774414062
198,1546.0546875
199,1505.8046875
