step,search_step
1,2.559375
2,2.7609375
3,2.603125
4,2.6578125
5,2.5625
6,2.634375
7,2.590625
8,2.609375
9,2.5453125
10,2.7109375
11,2.6625
12,2.7328125
13,2.6015625
14,2.6984375
15,2.6
16,2.7296875
17,2.66875
18,2.6125
19,2.66875
20,2.5265625
21,2.484375
22,2.5796875
23,2.55
24,2.6140625
25,2.5171875
26,2.5625
27,2.465625
28,2.5671875
29,2.7390625
30,2.8078125
31,2.5765625
32,2.53125
33,2.5296875
34,2.5875
35,2.5140625
36,2.5296875
37,2.6515625
38,2.625
39,2.75625
40,2.575
41,2.5984375
42,2.6578125
43,2.4828125
44,2.515625
45,2.5453125
46,2.4578125
47,2.540625
48,2.5625
49,2.453125
50,2.521875
51,2.4578125
52,2.459375
53,2.4609375
54,2.4109375
55,2.5546875
56,2.3515625
57,2.4296875
58,2.4734375
59,2.4765625
60,2.4484375
61,2.465625
62,2.4484375
63,2.5296875
64,2.275
65,2.41875
66,2.4890625
67,2.3921875
68,2.3484375
69,2.471875
70,2.425
71,2.4125
72,2.4875
73,2.390625
74,2.353125
75,2.371875
76,2.259375
77,2.4640625
78,2.459375
79,2.3515625
80,2.334375
81,2.2765625
82,2.4140625
83,2.4453125
84,2.40625
85,2.4765625
86,2.446875
87,2.28125
88,2.4390625
89,2.371875
90,2.45625
91,2.3625
92,2.3984375
93,2.390625
94,2.390625
95,2.390625
96,2.4046875
97,2.309375
98,2.4578125
99,2.50625
100,2.38125
101,2.384375
102,2.428125
103,2.321875
104,2.496875
105,2.403125
106,2.44375
107,2.4734375
108,2.4265625
109,2.4421875
110,2.3625
111,2.490625
112,2.3109375
113,2.378125
114,2.3453125
115,2.4046875
116,2.428125
117,2.4578125
118,2.39375
119,2.440625
120,2.353125
121,2.4546875
122,2.4046875
123,2.45
124,2.5203125
125,2.3828125
126,2.421875
127,2.384375
128,2.359375
129,2.4390625
130,2.45
131,2.4328125
132,2.4375
133,2.403125
134,2.421875
135,2.525
136,2.5921875
137,2.44375
138,2.303125
139,2.3765625
140,2.4109375
141,2.428125
142,2.39375
143,2.3703125
144,2.296875
145,2.4984375
146,2.3953125
148,2.3015625
149,2.3640625
150,2.4390625
151,2.3390625
152,2.478125
153,2.425
154,2.503125
155,2.509375
156,2.415625
157,2.3796875
158,2.4296875
159,2.409375
160,2.4671875
161,2.4390625
162,2.465625
163,2.4125
164,2.325
165,2.384375
166,2.3921875
167,2.4890625
168,2.4828125
169,2.4953125
170,2.409375
171,2.384375
172,2.509375
173,2.54375
174,2.453125
175,2.4296875
176,2.365625
177,2.425
178,2.4453125
179,2.3109375
180,2.5125
181,2.36875
182,2.3546875
183,2.4078125
184,2.4890625
185,2.4828125
186,2.3421875
187,2.4171875
188,2.5171875
189,2.515625
190,2.45625
191,2.4328125
192,2.4140625
193,2.3796875
194,2.4828125
195,2.5828125
196,2.3875
197,2.446875
198,2.359375
199,2.2765625
