step,step_step
1,298.5922380387783
2,309.8138661384583
3,308.1807884834707
4,298.1875917129219
5,295.1872241236269
6,296.9299052767456
7,289.8096809759736
8,286.8014690540731
9,288.3836519159377
10,616.6645187400281
11,302.1128066405654
12,305.2490220144391
13,299.5983848236501
14,296.0366633161902
15,287.1663135699928
16,304.8623481094837
17,308.736150521785
18,296.1330388188362
19,295.5326888822019
20,608.2235899977386
21,292.8588805235922
22,291.7645051404834
23,295.2660172395408
24,299.3747374452651
25,288.0427778959274
26,296.5230705402792
27,284.9078583866358
28,303.2553038783371
29,294.7086077779531
30,640.6226124800742
31,303.5787494666874
32,304.3401923254132
33,296.7711322903633
34,299.4648959934711
35,285.791022438556
36,290.3195205889642
37,301.1819888316095
38,297.9432857707143
39,307.4887494444847
40,619.9901098757982
41,307.001920234412
42,317.1296472102404
43,297.6726747304201
44,312.7170767970383
45,296.277957636863
46,296.7886636331677
47,305.5468951463699
48,309.8469374328852
49,299.8168188557029
50,642.1426972150803
51,299.8159894533455
52,289.7597068026662
53,298.0206582732499
54,310.9509990029037
55,318.3986086398363
56,305.4220503866673
57,302.9114978723228
58,312.2522403039038
59,310.8237313367426
60,745.5137239918113
61,320.242808829993
62,317.9565252251923
63,324.9014756605029
64,310.8877075277269
65,317.7605535537004
66,318.8853841125965
67,312.5399293974042
68,317.978106200695
69,317.9497698023915
70,771.1783815100789
71,321.7231126911938
72,336.5078004859388
73,327.0670975968242
74,338.566808719188
75,334.8283451683819
76,316.5164870396256
77,332.6554947197437
78,337.0037892721593
79,331.9536801874638
80,784.873642642051
81,345.0025666765869
82,339.6844164170325
83,328.7707640975714
84,329.39782126247883
85,338.5005612149835
86,339.8088467754424
87,327.1275267526507
88,340.1592905148864
89,320.2420766353607
90,807.2950464859605
91,344.8438870795071
92,327.7201785445213
93,339.7348464131355
94,334.844281796366
95,330.8176815472543
96,335.3933535851538
97,324.0738385878503
98,355.7288804352283
99,342.3807179741561
100,815.9588710665703
101,364.7833247333765
102,341.7729373238981
103,330.8304809369147
104,349.7249480672181
105,340.8221673406661
106,339.9158951379359
107,348.2543550953269
108,340.2160389758646
109,360.7097770944238
110,781.8130473271012
111,359.1561890542507
112,336.5326069816947
113,348.7008764110506
114,342.0696950927377
115,344.9327478297055
116,341.1687843576074
117,347.1506052054465
118,333.6398135535419
119,345.1303656548262
120,781.7402129024267
121,354.9425513073802
122,342.2786011099815
123,353.6785906478763
124,337.1862911432981
125,333.6058707125485
126,345.5629030764103
127,329.6732762008905
128,342.7556961216033
129,326.229778945446
130,794.7193674854934
131,338.3384041972458
132,351.0934380590916
133,358.7473659589887
134,364.9279135279357
135,357.6779139526188
136,367.5842024348676
137,360.9894038997591
138,364.0682023353875
139,363.3456126302481
140,880.1420820020139
141,382.6718924641609
142,361.5609986409545
143,365.5498492829502
144,342.3144895806909
145,361.1749007180333
146,347.6628253757954
147,344.6078898645937
148,339.7248848341405
149,344.8490543588996
150,875.6855358220637
151,371.2060209363699
152,361.7406849041581
153,374.8433149196208
154,364.8383161090314
155,371.0845388770103
156,360.8880389221013
157,341.5059826113284
158,349.4940303973854
159,348.8845993466675
160,786.0961157009006
161,335.4952583462
162,329.8611034564674
163,315.0205071754754
164,318.3376788459718
165,315.036511965096
166,318.7606741413474
167,322.8904520832002
168,328.1748020872474
169,340.0938896760345
170,769.1891608759761
171,329.4320912957191
172,316.8217237517238
173,305.5383767224848
174,296.2003424316645
175,310.9059596508741
176,304.45256267488
177,322.5726126506925
178,288.2743752971292
179,296.1660021841526
